C,class_weight,cls_name,dual,fit_intercept,intercept_scaling,log_time,max_iter,multi_class,n_jobs,penalty,random_state,solver,test_accuracy,test_shape,time_test_test,time_test_train,time_training,tol,train_accuracy,train_shape,verbose,warm_start
1,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,75.9494949495,"(9900, 40)",0.0022902488708496094,0.0003466606140136719,0.02554488182067871,0.0001,96.4,"(500, 40)",0,False
27,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,75.1717171717,"(9900, 40)",0.002393484115600586,0.0003180503845214844,0.042319536209106445,0.0001,99.4,"(500, 40)",0,False
0.3333333333333333,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,74.4343434343,"(9900, 40)",0.004923820495605469,0.0003039836883544922,0.01648855209350586,0.0001,92.2,"(500, 40)",0,False
0.037037037037037035,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,66.696969697,"(9900, 40)",0.0018701553344726562,0.00026106834411621094,0.010035276412963867,0.0001,82.8,"(500, 40)",0,False
0.1111111111111111,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,71.4949494949,"(9900, 40)",0.0028324127197265625,0.0003745555877685547,0.012998580932617188,0.0001,89.0,"(500, 40)",0,False
0.012345679012345678,,LogisticRegression,False,True,1,2018-01-26 18:07:14,1000,ovr,1,l2,,liblinear,61.0909090909,"(9900, 40)",0.0026404857635498047,0.0015716552734375,0.010218381881713867,0.0001,74.4,"(500, 40)",0,False
1,,LogisticRegression,False,True,1,2018-01-26 18:07:18,1000,ovr,1,l2,,liblinear,75.5757575758,"(9900, 35)",0.0023179054260253906,0.0003650188446044922,0.03750419616699219,0.0001,96.0,"(500, 35)",0,False
0.3333333333333333,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,74.4242424242,"(9900, 35)",0.00408935546875,0.0003795623779296875,0.04459261894226074,0.0001,92.2,"(500, 35)",0,False
0.00411522633744856,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,56.4242424242,"(9900, 35)",0.0018045902252197266,0.0005035400390625,0.009868383407592773,0.0001,70.0,"(500, 35)",0,False
9,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,75.4545454545,"(9900, 35)",0.0016422271728515625,0.0002639293670654297,0.03119182586669922,0.0001,98.4,"(500, 35)",0,False
0.012345679012345678,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,61.0909090909,"(9900, 35)",0.0017218589782714844,0.0002865791320800781,0.009061574935913086,0.0001,74.0,"(500, 35)",0,False
0.037037037037037035,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,66.6161616162,"(9900, 35)",0.004535198211669922,0.00040912628173828125,0.010393857955932617,0.0001,82.6,"(500, 35)",0,False
81,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,73.9797979798,"(9900, 35)",0.003989458084106445,0.00031566619873046875,0.044959306716918945,0.0001,99.4,"(500, 35)",0,False
0.1111111111111111,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,71.5454545455,"(9900, 35)",0.0018706321716308594,0.0005755424499511719,0.014459609985351562,0.0001,88.4,"(500, 35)",0,False
27,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,74.7070707071,"(9900, 35)",0.0017027854919433594,0.00026226043701171875,0.0377504825592041,0.0001,99.4,"(500, 35)",0,False
243,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,73.0808080808,"(9900, 35)",0.0016980171203613281,0.00029015541076660156,0.053670644760131836,0.0001,99.8,"(500, 35)",0,False
3,,LogisticRegression,False,True,1,2018-01-26 18:07:19,1000,ovr,1,l2,,liblinear,75.7575757576,"(9900, 35)",0.003076791763305664,0.0007672309875488281,0.03166627883911133,0.0001,97.6,"(500, 35)",0,False
1,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,75.8585858586,"(9900, 45)",0.002851724624633789,0.0003883838653564453,0.04585075378417969,0.0001,96.4,"(500, 45)",0,False
0.012345679012345678,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,61.1313131313,"(9900, 45)",0.002681255340576172,0.0003802776336669922,0.013499736785888672,0.0001,74.8,"(500, 45)",0,False
0.3333333333333333,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,74.4545454545,"(9900, 45)",0.0030291080474853516,0.00026488304138183594,0.022173643112182617,0.0001,92.2,"(500, 45)",0,False
0.1111111111111111,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,71.6262626263,"(9900, 45)",0.002729654312133789,0.00031566619873046875,0.015840530395507812,0.0001,88.8,"(500, 45)",0,False
3,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,76.2323232323,"(9900, 45)",0.001953601837158203,0.0002770423889160156,0.03263664245605469,0.0001,98.2,"(500, 45)",0,False
0.037037037037037035,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,66.6262626263,"(9900, 45)",0.0020062923431396484,0.00029087066650390625,0.014184951782226562,0.0001,82.8,"(500, 45)",0,False
0.00411522633744856,,LogisticRegression,False,True,1,2018-01-26 18:07:24,1000,ovr,1,l2,,liblinear,56.4343434343,"(9900, 45)",0.002238750457763672,0.0002391338348388672,0.007286548614501953,0.0001,70.0,"(500, 45)",0,False
